sitetag,Site,yr,TagNo,DBH,surv,lags,resurveyarea,newplt
MSC1354,MSC,2002,1354,0.219732178022843,1,0,1,1
MSC1354,MSC,2003,1354,NA,1,1,1,0
MSC1354,MSC,2004,1354,NA,0,1,1,0
MSC1355,MSC,2002,1355,0.520795588814493,1,0,1,0
MSC1355,MSC,2003,1355,NA,1,1,1,0
MSC1355,MSC,2004,1355,NA,0,1,1,0
MSC1356,MSC,2002,1356,0.470618353682551,1,0,1,0
MSC1356,MSC,2003,1356,NA,1,1,1,0
MSC1356,MSC,2004,1356,NA,0,1,1,0
MSC1357,MSC,2002,1357,0.169554942890901,1,0,1,1
MSC1357,MSC,2003,1357,NA,1,1,1,0
MSC1357,MSC,2004,1357,NA,0,1,1,0
MSC1359,MSC,2002,1359,0.821858999606143,1,0,1,0
MSC1359,MSC,2003,1359,NA,1,1,1,0
MSC1359,MSC,2004,1359,NA,0,1,1,0
MSC1361,MSC,2002,1361,0.470618353682551,1,0,1,0
MSC1361,MSC,2003,1361,0.621150059078376,1,1,1,0
MSC1361,MSC,2004,1361,0.72150452934226,1,1,1,0
MSC1361,MSC,2005,1361,NA,NA,0,1,0
MSC1361,MSC,2006,1361,NA,NA,0,1,0
MSC1361,MSC,2007,1361,1.1,1,3,1,0
MSC1361,MSC,2008,1361,NA,NA,0,1,0
MSC1361,MSC,2009,1361,NA,NA,0,1,0
MSC1361,MSC,2010,1361,2.8,1,3,1,0
MSC1361,MSC,2011,1361,3.7,1,1,1,0
MSC1361,MSC,2012,1361,NA,NA,0,1,0
MSC1361,MSC,2013,1361,NA,1,2,1,0
MSC1362,MSC,2002,1362,0.570972823946435,1,0,1,0
MSC1362,MSC,2003,1362,NA,1,1,1,0
MSC1362,MSC,2004,1362,NA,0,1,1,0
MSC1363,MSC,2002,1363,0.269909413154784,1,0,1,0
MSC1363,MSC,2003,1363,NA,1,1,1,0
MSC1363,MSC,2004,1363,NA,0,1,1,0
MSC1364,MSC,2002,1364,0.219732178022843,1,0,1,1
MSC1364,MSC,2003,1364,NA,1,1,1,0
MSC1364,MSC,2004,1364,NA,0,1,1,0
MSC1366,MSC,2002,1366,0.470618353682551,1,0,1,0
MSC1366,MSC,2003,1366,NA,1,1,1,0
MSC1366,MSC,2004,1366,NA,0,1,1,0
MSC1368,MSC,2002,1368,0.269909413154784,1,0,1,0
MSC1368,MSC,2003,1368,NA,1,1,1,0
MSC1368,MSC,2004,1368,NA,0,1,1,0
MSC1371,MSC,2002,1371,0.269909413154784,1,0,1,0
MSC1371,MSC,2003,1371,NA,1,1,1,0
MSC1371,MSC,2004,1371,NA,0,1,1,0
MSC1375,MSC,2002,1375,0.42044111855061,1,0,1,0
MSC1375,MSC,2003,1375,NA,1,1,1,0
MSC1375,MSC,2004,1375,NA,0,1,1,0
MSC1376,MSC,2002,1376,0.42044111855061,1,0,1,0
MSC1376,MSC,2003,1376,NA,1,1,1,0
MSC1376,MSC,2004,1376,NA,0,1,1,0
MSC1379,MSC,2002,1379,0.370263883418668,1,0,1,0
MSC1379,MSC,2003,1379,NA,1,1,1,0
MSC1379,MSC,2004,1379,NA,0,1,1,0
MSC1380,MSC,2002,1380,0.219732178022843,1,0,1,1
MSC1380,MSC,2003,1380,NA,1,1,1,0
MSC1380,MSC,2004,1380,NA,0,1,1,0
MSC1381,MSC,2002,1381,0.219732178022843,1,0,1,1
MSC1381,MSC,2003,1381,NA,1,1,1,0
MSC1381,MSC,2004,1381,NA,0,1,1,0
MSC1383,MSC,2002,1383,0.269909413154784,1,0,1,0
MSC1383,MSC,2003,1383,NA,1,1,1,0
MSC1383,MSC,2004,1383,NA,0,1,1,0
MSC1384,MSC,2002,1384,0.370263883418668,1,0,1,0
MSC1384,MSC,2003,1384,NA,1,1,1,0
MSC1384,MSC,2004,1384,NA,0,1,1,0
MSC1387,MSC,2002,1387,0.269909413154784,1,0,1,0
MSC1387,MSC,2003,1387,NA,1,1,1,0
MSC1387,MSC,2004,1387,NA,0,1,1,0
MSC1389,MSC,2002,1389,0.169554942890901,1,0,1,1
MSC1389,MSC,2003,1389,NA,1,1,1,0
MSC1389,MSC,2004,1389,NA,0,1,1,0
MSC1390,MSC,2002,1390,0.671327294210318,1,0,1,0
MSC1390,MSC,2003,1390,NA,1,1,1,0
MSC1390,MSC,2004,1390,NA,0,1,1,0
MSC1391,MSC,2002,1391,0.269909413154784,1,0,1,0
MSC1391,MSC,2003,1391,NA,1,1,1,0
MSC1391,MSC,2004,1391,NA,0,1,1,0
MSC1396,MSC,2002,1396,0.370263883418668,1,0,1,0
MSC1396,MSC,2003,1396,NA,1,1,1,0
MSC1396,MSC,2004,1396,NA,0,1,1,0
MSC1397,MSC,2002,1397,0.169554942890901,1,0,1,1
MSC1397,MSC,2003,1397,NA,1,1,1,0
MSC1397,MSC,2004,1397,NA,0,1,1,0
MSC1398,MSC,2002,1398,0.320086648286726,1,0,1,0
MSC1398,MSC,2003,1398,NA,1,1,1,0
MSC1398,MSC,2004,1398,NA,0,1,1,0
MSC1401,MSC,2002,1401,0.269909413154784,1,0,1,0
MSC1401,MSC,2003,1401,0.269909413154784,1,1,1,0
MSC1401,MSC,2004,1401,0.269909413154784,1,1,1,0
MSC1401,MSC,2005,1401,NA,NA,0,1,0
MSC1401,MSC,2006,1401,NA,NA,0,1,0
MSC1401,MSC,2007,1401,NA,1,3,1,0
MSC1403,MSC,2002,1403,0.269909413154784,1,0,1,0
MSC1403,MSC,2003,1403,NA,1,1,1,0
MSC1403,MSC,2004,1403,NA,0,1,1,0
MSC1404,MSC,2002,1404,0.269909413154784,1,0,1,0
MSC1404,MSC,2003,1404,NA,1,1,1,0
MSC1404,MSC,2004,1404,NA,0,1,1,0
MSC1406,MSC,2002,1406,0.269909413154784,1,0,1,0
MSC1406,MSC,2003,1406,NA,1,1,1,0
MSC1406,MSC,2004,1406,0.320086648286726,1,1,1,0
MSC1406,MSC,2005,1406,NA,NA,0,1,0
MSC1406,MSC,2006,1406,NA,NA,0,1,0
MSC1406,MSC,2007,1406,NA,0,3,1,0
MSC1408,MSC,2002,1408,0.219732178022843,1,0,1,1
MSC1408,MSC,2003,1408,NA,1,1,1,0
MSC1408,MSC,2004,1408,NA,0,1,1,0
MSC1410,MSC,2002,1410,0.269909413154784,1,0,1,0
